"Plot_ID","Species_richness","Species_diversity","Sitecode","Year","Eastings","Northings","BAP_broad","BAP_priority","NVC_FIRST","Light","Wetness","pH","Fertility","Competition","Stress","Ruderals","NVC_subgroup","NVC_group","NVC_habitat","Vegetation_height","STD_HEIGHT","Litter","Bare_ground","NA","NA","NA","NA","NA","NA","NA"
"11",31,0.929023481398237,"B01",2012,329270.667085999,410931.264222,"Supralittoral Sediment","Coastal Sand Dunes","SD7:50.80",7.8,5.4,5.9,3.4,2.47,3.28,1.67,"SD7","SD7","SD",5.06,3.1534372780613,24,12,NA,NA,NA,NA,NA,NA,NA
"12",28,0.950728759331674,"B01",2012,329442.33132,410848.567243,"Supralittoral Sediment","Coastal Sand Dunes","SD7c:42.03",7.6,4.9,5.6,3.7,2.3,3.46,2,"SD7c","SD7","SD",8.82,8.72123844416606,2,3,NA,NA,NA,NA,NA,NA,NA
"13",16,0.882722513089005,"B01",2012,329605.993,410805.870344,"Coniferous Woodland","Coastal Sand Dunes","SD12a:35.79",7.4,4.6,5.7,3.9,2.15,2.18,3.03,"SD12a","SD12","SD",20.12,28.8231966767509,0,1,NA,NA,NA,NA,NA,NA,NA
"14",15,0.808109651627641,"B01",2012,329718.683648,410756.151145,"Coniferous Woodland","Coastal Sand Dunes","SD10:39.53",7.7,5.7,5.9,3.6,2.97,2.69,1.59,"SD10","SD10","SD",4.78,2.23177806542974,25,4,NA,NA,NA,NA,NA,NA,NA
"15",25,0.937598232209272,"B01",2012,329987.094203,410514.945536,NA,NA,"SD12a:49.45",7.3,5.2,5.5,3.9,2.54,3.11,2.34,"SD12a","SD12","SD",6.304,3.61299506411694,20,9,NA,NA,NA,NA,NA,NA,NA
"16",41,0.964153650689304,"B01",2012,328987.586050999,410978.741557999,"Supralittoral Sediment","Coastal Sand Dunes","SD14d:51.02",7.4,5.9,6,4.5,2.79,2.55,2.45,"SD14d","SD14","SD",5.68,3.20442402520848,24,0,NA,NA,NA,NA,NA,NA,NA
"17",28,0.939265710322547,"B01",2012,329140.449587,410837.348148,"Supralittoral Sediment","Coastal Sand Dunes","SD7a:44.67",7.8,6,6,3.9,2.89,2.97,1.81,"SD7a","SD7","SD",15.1,6.91164476324799,0,0,NA,NA,NA,NA,NA,NA,NA
"18",20,0.921619293712317,"B01",2012,329247.011467,410774.349491,"Supralittoral Sediment","Coastal Sand Dunes","SD12b:29.10",6.8,5.8,5.4,4.5,3,2.92,2.48,"SD12b","SD12","SD",29.78,13.8489470117166,1,0,NA,NA,NA,NA,NA,NA,NA
"19",16,0.898996509598604,"B01",2012,328960.691263,410746.765319,"Supralittoral Sediment","Coastal Sand Dunes","SD7a:48.70",8.5,3.8,5.8,3.1,2,2.88,3,"SD7a","SD7","SD",6.84,8.12111445554119,25,25,NA,NA,NA,NA,NA,NA,NA
"20",30,0.941537617259179,"B01",2012,328739.582103,410660.902670999,"Supralittoral Sediment","Coastal Sand Dunes","SD16:46.73",7.4,6.3,6.1,3.8,3.09,2.81,1.35,"SD16","SD16","SD",13.48,4.39810565281615,0,0,NA,NA,NA,NA,NA,NA,NA
"21",37,0.956319356520444,"B01",2012,328780.28882,410514.328587,"Supralittoral Sediment","Coastal Sand Dunes","SD16:45.86",6.9,5.2,5.9,4.5,3.42,2.2,2.14,"SD16","SD16","SD",10.632,6.08876834836078,25,7,NA,NA,NA,NA,NA,NA,NA
"22",25,0.920531005637389,"B01",2012,329031.210240999,410491.249015,"Supralittoral Sediment","Coastal Sand Dunes","OV27e:41.67",7,5.2,6.1,4.5,3.06,2.28,2.26,"OV27e","OV27","OV",10.52,7.53668804360819,0,0,NA,NA,NA,NA,NA,NA,NA
"23",32,0.952596440913045,"B01",2012,328880.857689,410356.27846,"Supralittoral Sediment","Coastal Sand Dunes","SD7b:42.82",7.5,6.3,6,4.1,2.98,2.83,1.59,"SD7b","SD7","SD",21.668,13.7927130519464,25,6,NA,NA,NA,NA,NA,NA,NA
"24",24,0.951724644679109,"B01",2012,329004.667340999,410304.519753,"Supralittoral Sediment","Coastal Sand Dunes","SD12a:43.90",7.5,4.7,5.5,3.6,2.38,2.83,2.77,"SD12a","SD12","SD",10.54,19.2786150954886,0,0,NA,NA,NA,NA,NA,NA,NA
"25",6,0.796068796068796,"B01",2012,329768.116739,410186.792790999,"Sublittoral Sediment","Coastal Sand Dunes","SD10:52.51",7,5.6,6.3,5.6,3.31,2.66,2.69,"SD10","SD10","SD",20.8,11.1532880054867,0,0,NA,NA,NA,NA,NA,NA,NA
"26",11,0.826425415527036,"B01",2012,329521.311326999,409911.18066,"Broadleaved, Mixed And Yew Woodland",NA,"OV27:40.27",7.3,4,5.3,3.4,3.14,2.69,1.9,"OV27","OV27","OV",11.88,22.8451672496978,13,3,NA,NA,NA,NA,NA,NA,NA
"27",36,0.951491729273209,"B01",2012,328548.60174,410088.870271999,"Supralittoral Sediment","Coastal Sand Dunes","SD7b:38.46",7.6,5.7,6,3.8,2.43,3.27,1.49,"SD7b","SD7","SD",6.24,4.23310366831084,0,2,NA,NA,NA,NA,NA,NA,NA
"28",28,0.940634735202492,"B01",2012,328723.925573999,410137.213005,"Supralittoral Sediment","Coastal Sand Dunes","SD16b:37.04",6.8,5.6,5.6,4.8,3.03,2.67,2.48,"SD16b","SD16","SD",2.46,2.26347814951533,16,3,NA,NA,NA,NA,NA,NA,NA
"29",33,0.952173653765877,"B01",2012,328796.760388,410027.615796,"Supralittoral Sediment","Coastal Sand Dunes","SD12a:36.81",6.9,5.7,5.6,4,3.04,2.77,1.89,"SD12a","SD12","SD",4.82,5.39266477108798,23,3,NA,NA,NA,NA,NA,NA,NA
"30",27,0.951034272192962,"B01",2012,328457.741663,410616.589316,"Supralittoral Sediment","Coastal Sand Dunes","SD7c:41.52",7.3,5.2,6.2,4.5,2.68,3.11,2.32,"SD7c","SD7","SD",10.88,2.35088635766739,25,4,NA,NA,NA,NA,NA,NA,NA
"31",25,0.933308237656064,"B01",2012,328454.790647,410516.856106,"Supralittoral Sediment","Coastal Sand Dunes","SD7:36.87",7.7,4.7,6,4.2,2.75,2.91,2.57,"SD7","SD7","SD",7.8,3.19504825211347,24,19,NA,NA,NA,NA,NA,NA,NA
"32",17,0.891044364838799,"B01",2012,328203.479272999,410195.941698,"Supralittoral Sediment","Coastal Sand Dunes","SD16:46.39",7.5,5.6,6.5,5.5,3.26,2.71,2.05,"SD16","SD16","SD",17.16,8.3263137101601,24,25,NA,NA,NA,NA,NA,NA,NA
"33",17,0.914677008847412,"B01",2012,329343.595541,411653.264528999,"Supralittoral Sediment","Coastal Sand Dunes","SD15b:46.51",7.4,7.5,6.4,4.6,2.94,2.16,2.32,"SD15b","SD15","SD",9.12,1.81015653098473,25,0,NA,NA,NA,NA,NA,NA,NA
"34",23,0.927713447583758,"B01",2012,328220.999026999,409832.35596,"Supralittoral Sediment","Coastal Sand Dunes","SD16:49.19",7.5,6.8,6.5,4.5,2.98,2.96,1.11,"SD16","SD16","SD",68.076,21.119270031577,25,25,NA,NA,NA,NA,NA,NA,NA
"35",49,0.967212984389786,"B01",2012,329279.473047,411512.169101,"Supralittoral Sediment","Coastal Sand Dunes","SD7:45.27",7.7,5.4,6.1,3.8,2.52,3.15,1.88,"SD7","SD7","SD",NA,NA,25,4,NA,NA,NA,NA,NA,NA,NA
"36",8,0.775480769230769,"B01",2012,329841.775266,411218.70548,"Coniferous Woodland",NA,"SD6g:32.79",7,3.8,5,2.9,3,3,1,"SD6g","SD6","SD",3.78,1.22542509631012,0,5,NA,NA,NA,NA,NA,NA,NA
"37",3,0.546757164404223,"B01",2012,330047.259938,411095.466801,"Coniferous Woodland",NA,"SD6g:44.05",5.1,5.9,4,4.9,3,3,2,"SD6g","SD6","SD",9.92,8.55092587579458,25,0,NA,NA,NA,NA,NA,NA,NA
"38",6,0.477310924369748,"B01",2012,329866.560930999,411038.439619,"Coniferous Woodland",NA,"SD6g:44.05",7.9,3,5,2,NA,NA,NA,"SD6g","SD6","SD",7.42,7.03663034887201,25,0,NA,NA,NA,NA,NA,NA,NA
"39",7,0.775430359937402,"B01",2012,330073.556905,410956.908228999,"Coniferous Woodland",NA,"SD10b:36.43",7.7,3.6,5.2,2.5,3,3,1,"SD10b","SD10","SD",4.76,1.62095650774473,0,0,NA,NA,NA,NA,NA,NA,NA
"40",5,0.725,"B01",2012,329963.072511999,410680.362287,"Coniferous Woodland",NA,"SD6g:32.57",5.4,5.6,4.2,4.6,3.02,2.98,1.96,"SD6g","SD6","SD",11.516,12.694410843622,25,0,NA,NA,NA,NA,NA,NA,NA
"41",7,0.792105263157895,"B01",2012,329805.236243,410588.872152999,"Coniferous Woodland",NA,"SD10:34.19",NA,NA,NA,NA,NA,NA,NA,"SD10","SD10","SD",6.476,4.49020044096029,25,2,NA,NA,NA,NA,NA,NA,NA
"42",7,0.78006329113924,"B01",2012,329651.110102,410583.570606,"Coniferous Woodland",NA,"OV27c:26.98",5.4,5.3,4.9,4.6,2.76,3.24,1.24,"OV27c","OV27","OV",4.16,1.54596248337403,25,0,NA,NA,NA,NA,NA,NA,NA
"43",6,0.532005689900427,"B01",2012,329551.942996,410772.936594999,"Coniferous Woodland",NA,"OV27c:33.10",5.1,6,4.1,5,3.1,2.9,1.94,"OV27c","OV27","OV",43.42,18.6891679857612,25,0,NA,NA,NA,NA,NA,NA,NA
"44",3,0.562409288824383,"B01",2012,329357.536183,410440.899903999,"Broadleaved, Mixed And Yew Woodland",NA,"SD6g:48.78",7,6,6,5,3,3,3,"SD6g","SD6","SD",4.12,1.25233115961128,25,0,NA,NA,NA,NA,NA,NA,NA
"45",12,0.821177341725287,"B01",2012,328815.868942999,410218.351173,"Supralittoral Sediment","Coastal Sand Dunes","OV27:36.30",6.1,6,6,5.8,3.17,2.8,2.48,"OV27","OV27","OV",4.376,0.990067337777251,25,0,NA,NA,NA,NA,NA,NA,NA
"46",6,0.45632798573975,"B01",2012,328952.937712999,409926.219249,"Coniferous Woodland",NA,"OV27c:17.66",5.9,4.9,4.5,3.9,3,3,2,"OV27c","OV27","OV",3.724,2.75775875183696,25,0,NA,NA,NA,NA,NA,NA,NA
"47",5,0.524024024024024,"B01",2012,329129.302778,409882.387554,"Coniferous Woodland",NA,"SD6g:40.49",7.9,3.1,5,2.1,3,3,1,"SD6g","SD6","SD",NA,NA,25,1,NA,NA,NA,NA,NA,NA,NA
"48",12,0.884386973180077,"B01",2012,328605.654985999,409630.287085,"Broadleaved, Mixed And Yew Woodland",NA,"SD10:28.17",6.8,5.7,5.6,5,2.81,2.98,2.15,"SD10","SD10","SD",2.036,0.517912476518314,25,20,NA,NA,NA,NA,NA,NA,NA
"48",12,0.884386973180077,"B01",2012,328605.654985999,409630.287085,"Broadleaved, Mixed And Yew Woodland",NA,"SD10:28.17",6.8,5.7,5.6,5,2.81,2.98,2.15,"SD10","SD10","SD",17.18,21.3106389705549,25,20,NA,NA,NA,NA,NA,NA,NA
"49",10,0.834141414141414,"B01",2012,328784.945095999,409720.857274,"Coniferous Woodland",NA,"OV27:33.90",6.8,4.5,5.1,3.7,3.06,2.89,1.37,"OV27","OV27","OV",24.94,33.9706736269193,25,0,NA,NA,NA,NA,NA,NA,NA
"50",6,0.72712215320911,"B01",2012,328943.072603999,409660.23246,"Coniferous Woodland",NA,"SD6g:32.57",6.9,5.3,4.4,3.3,2.23,3,2.62,"SD6g","SD6","SD",6.12,1.99708120349007,25,0,NA,NA,NA,NA,NA,NA,NA
"1",34,0.948991121872478,"B01",2016,330116.423537,411577.005176,"Supralittoral Sediment","Coastal Sand Dunes","SD17b:55.44",7.5,6.6,6.1,3.8,2.76,2.79,1.81,"SD17b","SD17","SD",16.54,7.01771567772116,21,0,NA,NA,NA,NA,NA,NA,NA
"2",15,0.906675780359991,"B01",2016,329459.448436999,411732.400338999,"Supralittoral Sediment","Coastal Sand Dunes","SD15a:55.36",7.6,8.4,6,3.7,3.05,2.84,1.37,"SD15a","SD15","SD",16.44,9.65263349212707,0,0,NA,NA,NA,NA,NA,NA,NA
"3",22,0.939674245633856,"B01",2016,329765.652790999,411581.303481,"Supralittoral Sediment","Coastal Sand Dunes","SD16b:45.51",7.2,6.4,6.1,4.5,3.19,2.63,2.15,"SD16b","SD16","SD",25.18,9.68017733997334,25,0,NA,NA,NA,NA,NA,NA,NA
"4",31,0.945267273137358,"B01",2016,329860.475268999,411429.480128999,"Supralittoral Sediment","Coastal Sand Dunes","SD16b:49.21",7.4,6,6,4,2.68,3.26,1.53,"SD16b","SD16","SD",22.34,6.7217309278687,25,0,NA,NA,NA,NA,NA,NA,NA
"5",33,0.956516445215591,"B01",2016,329366.253708,411513.842953999,"Supralittoral Sediment","Coastal Sand Dunes","SD16c:43.34",7.6,5.4,6.2,4.1,2.55,3.21,2.05,"SD16c","SD16","SD",11.44,4.11632927092412,13,2,NA,NA,NA,NA,NA,NA,NA
"6",39,0.959014655606498,"B01",2016,329479.311262,411467.821227999,"Supralittoral Sediment","Coastal Sand Dunes","SD7a:45.01",7.4,5.4,6.4,5.1,2.87,2.62,2.41,"SD7a","SD7","SD",8.08,3.91492869241148,11,0,NA,NA,NA,NA,NA,NA,NA
"7",27,0.947214992191567,"B01",2016,329597.698343,411504.994178,"Supralittoral Sediment","Coastal Sand Dunes","SD15b:50.48",7.5,6.6,6,4,3.05,2.73,1.74,"SD15b","SD15","SD",26.86,10.1360741907308,25,0,NA,NA,NA,NA,NA,NA,NA
"8",16,0.910160427807487,"B01",2016,329139.49884,411313.989110999,"Supralittoral Sediment","Coastal Sand Dunes","SD15a:63.02",7.5,7.8,5.9,4,2.92,2.43,2.03,"SD15a","SD15","SD",12.64,2.73297761913022,0,0,NA,NA,NA,NA,NA,NA,NA
"9",36,0.949284899534965,"B01",2016,329356.478645,411156.792805999,"Supralittoral Sediment","Coastal Sand Dunes","SD7a:42.58",7.5,5.7,6,4.5,2.82,2.98,2.24,"SD7a","SD7","SD",37.42,18.4072449504717,25,0,NA,NA,NA,NA,NA,NA,NA
"10",40,0.96520668614901,"B01",2016,329608.601834999,411083.465197,"Supralittoral Sediment","Coastal Sand Dunes","SD12:50.80",7.1,4.9,5.5,3.8,2.43,3.14,2.57,"SD12","SD12","SD",2.6,1.25,3,0,NA,NA,NA,NA,NA,NA,NA
"11",38,0.96099850985401,"B01",2016,329270.667085999,410931.264222,"Supralittoral Sediment","Coastal Sand Dunes","SD7c:38.78",7.7,5.4,6,4,2.73,2.94,2.23,"SD7c","SD7","SD",5.9,2.80624304008046,24,10,NA,NA,NA,NA,NA,NA,NA
"12",37,0.962880591116707,"B01",2016,329442.33132,410848.567243,"Supralittoral Sediment","Coastal Sand Dunes","SD7b:39.92",7.6,4.9,5.9,4.1,2.6,3.07,2.48,"SD7b","SD7","SD",4.48,1.74092887084261,25,1,NA,NA,NA,NA,NA,NA,NA
"13",25,0.945039018952062,"B01",2016,329605.993,410805.870344,"Supralittoral Sediment","Coastal Sand Dunes","SD12a:41.94",7.5,5.5,5.6,3.5,2.58,3.03,2.08,"SD12a","SD12","SD",8.16,6.51076032426321,25,4,NA,NA,NA,NA,NA,NA,NA
"14",32,0.952816452816453,"B01",2016,329718.683648,410756.151145,"Coniferous Woodland",NA,"SD12a:54.73",7.5,5.5,5.9,4.1,2.71,2.49,2.44,"SD12a","SD12","SD",12.32,8.3152470398259,22,3,NA,NA,NA,NA,NA,NA,NA
"15",39,0.963251646565734,"B01",2016,329987.094203,410514.945536,"Neutral Grassland","Lowland Meadows","SD12a:51.99",7.2,5,5.4,3.7,2.48,2.94,2.75,"SD12a","SD12","SD",4.46,2.55734237050888,25,5,NA,NA,NA,NA,NA,NA,NA
"16",24,0.936218839000035,"B01",2016,328987.586050999,410978.741557999,"Supralittoral Sediment","Coastal Sand Dunes","SD16b:57.02",7.6,7.1,6.1,3.8,3.16,2.73,1.57,"SD16b","SD16","SD",21.8,5.99305153212173,25,0,NA,NA,NA,NA,NA,NA,NA
"17",34,0.947311675414952,"B01",2016,329140.449587,410837.348148,"Supralittoral Sediment","Coastal Sand Dunes","SD7b:43.01",8.4,4.3,6,3.4,2.38,3.12,2.67,"SD7b","SD7","SD",12.6,9.80327326287841,16,11,NA,NA,NA,NA,NA,NA,NA
"18",31,0.951399941055113,"B01",2016,329247.011467,410774.349491,"Supralittoral Sediment","Coastal Sand Dunes","SD16b:34.16",7.5,6.3,6.1,4.1,3.03,2.79,1.79,"SD16b","SD16","SD",29.32,10.5177231376377,25,0,NA,NA,NA,NA,NA,NA,NA
"19",16,0.901788785689714,"B01",2016,328960.691263,410746.765319,"Supralittoral Sediment","Coastal Sand Dunes","SD7d:36.15",8.2,3.9,5.8,3.1,1.73,2.55,3.18,"SD7d","SD7","SD",7.58,7.88416133777081,25,25,NA,NA,NA,NA,NA,NA,NA
"20",27,0.935450849638794,"B01",2016,328739.582103,410660.902670999,"Supralittoral Sediment","Coastal Sand Dunes","SD15a:60.89",7.5,7,6.2,4,3.1,2.73,1.49,"SD15a","SD15","SD",33.75,7.88642201342998,23,3,NA,NA,NA,NA,NA,NA,NA
"21",38,0.963615229834535,"B01",2016,328780.28882,410514.328587,"Supralittoral Sediment","Coastal Sand Dunes","SD16c:41.50",7.5,5.2,5.9,4.6,2.83,2.75,2.95,"SD16c","SD16","SD",15.74,6.20671679177754,24,10,NA,NA,NA,NA,NA,NA,NA
"22",37,0.958557880475689,"B01",2016,329031.210240999,410491.249015,"Supralittoral Sediment","Coastal Sand Dunes","SD7b:46.30",7.5,5.4,6,4.6,2.86,2.91,2.36,"SD7b","SD7","SD",16.2916666666667,10.7257478371751,25,1,NA,NA,NA,NA,NA,NA,NA
"23",40,0.956199017462237,"B01",2016,328880.857689,410356.27846,"Supralittoral Sediment","Coastal Sand Dunes","SD7:44.11",7.4,6,6.2,4.5,3.04,2.76,1.84,"SD7","SD7","SD",33.5,16.9724040724937,19,3,NA,NA,NA,NA,NA,NA,NA
"24",31,0.953907405658893,"B01",2016,329004.667340999,410304.519753,"Supralittoral Sediment","Coastal Sand Dunes","SD12a:53.82",7.4,5.5,5.5,3.9,2.47,2.99,2.47,"SD12a","SD12","SD",9.9,4.45580146176495,25,0,NA,NA,NA,NA,NA,NA,NA
"25",28,0.944560244026436,"B01",2016,329768.116739,410186.792790999,"Neutral Grassland","Lowland Meadows","MG6b:42.76",7,5.6,6.7,5.9,3.43,2.32,2.03,"MG6b","MG6","MG",21.38,15.7607635178841,25,0,NA,NA,NA,NA,NA,NA,NA
"26",15,0.903765048692585,"B01",2016,329521.311326999,409911.18066,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","SD10b:32.91",5.3,5.3,5.9,5.6,3.45,2.41,1.65,"SD10b","SD10","SD",4.22,4.70611304581605,25,4,NA,NA,NA,NA,NA,NA,NA
"27",38,0.954601947890539,"B01",2016,328548.60174,410088.870271999,"Supralittoral Sediment","Coastal Sand Dunes","SD7b:47.73",7.4,6,6.1,4.4,2.81,3.03,1.73,"SD7b","SD7","SD",12.42,5.97334356397933,25,1,NA,NA,NA,NA,NA,NA,NA
"28",32,0.952490118577075,"B01",2016,328723.925573999,410137.213005,"Supralittoral Sediment","Coastal Sand Dunes","SD16b:39.86",7.1,4.9,5.8,4.8,2.3,2.25,3.05,"SD16b","SD16","SD",2.24,0.958731801217977,15,10,NA,NA,NA,NA,NA,NA,NA
"29",30,0.951336702556215,"B01",2016,328796.760388,410027.615796,"Supralittoral Sediment","Coastal Sand Dunes","SD12a:43.28",7.4,5.2,5.5,3.7,2.57,3.15,2.43,"SD12a","SD12","SD",4.66,2.36167313572391,0,1,NA,NA,NA,NA,NA,NA,NA
"30",28,0.933760943579767,"B01",2016,328457.741663,410616.589316,"Supralittoral Sediment","Coastal Sand Dunes","SD7c:53.67",7.4,5.5,6.4,4.8,2.92,2.95,2.06,"SD7c","SD7","SD",13.82,5.70431123508059,0,0,NA,NA,NA,NA,NA,NA,NA
"31",30,0.946492119979664,"B01",2016,328454.790647,410516.856106,"Supralittoral Sediment","Coastal Sand Dunes","SD16:44.07",7.5,5.5,6.3,4.9,2.77,3.02,2.15,"SD16","SD16","SD",6.6,3.6657195746538,25,15,NA,NA,NA,NA,NA,NA,NA
"32",16,0.902239836666066,"B01",2016,328203.479272999,410195.941698,"Supralittoral Sediment","Coastal Sand Dunes","SD7c:44.40",7.5,6.4,6.5,4.9,3.16,2.81,1.48,"SD7c","SD7","SD",45.28,14.7747532410302,25,0,NA,NA,NA,NA,NA,NA,NA
"33",15,0.901986923125754,"B01",2016,329343.595541,411653.264528999,"Supralittoral Sediment","Coastal Sand Dunes","SD17d:50.80",7.8,8.8,6,3.8,3.05,2.66,2.5,"SD17d","SD17","SD",1.12,5.6,0,0,NA,NA,NA,NA,NA,NA,NA
"35a",46,0.964402750112446,"B01",2016,329279.473047,411512.169101,"Supralittoral Sediment","Coastal Sand Dunes","SD7:42.01",7.7,5.6,6.1,4.1,2.63,2.99,2.07,"SD7","SD7","SD",14.9,8.23356949728771,15,10,NA,NA,NA,NA,NA,NA,NA
"36a",17,0.929136566907465,"B01",2016,329841.775266,411218.70548,"Coniferous Woodland",NA,"OV27:33.49",6.6,5.2,6,4.6,3.6,2.2,2.13,"OV27","OV27","OV",2.7,1.39194109070751,23,8,NA,NA,NA,NA,NA,NA,NA
"37",6,0.612078977932637,"B01",2016,330047.259938,411095.466801,"Coniferous Woodland",NA,"OV27c:33.83",5.1,6,4,5,3,3,1.99,"OV27c","OV27","OV",17.92,11.0648467379053,25,0,NA,NA,NA,NA,NA,NA,NA
"38a",8,0.802620274914089,"B01",2016,329866.560930999,411038.439619,"Coniferous Woodland",NA,"SD10:45.66",7.3,3.8,5.4,3.2,4.5,1.2,1.5,"SD10","SD10","SD",3.18,1.24899959967968,25,2,NA,NA,NA,NA,NA,NA,NA
"39a",11,0.846441947565543,"B01",2016,330073.556905,410956.908228999,"Coniferous Woodland","Lowland Mixed Deciduous Woodland","SD10:36.53",6.5,4.8,5.5,4.2,2.18,3.73,1.18,"SD10","SD10","SD",3.64,1.09468412491154,25,0,NA,NA,NA,NA,NA,NA,NA
"40a",12,0.858555751253218,"B01",2016,329963.072511999,410680.362287,"Coniferous Woodland",NA,"OV27c:43.29",6.7,4.9,5.6,4.4,3.09,2.88,1.09,"OV27c","OV27","OV",11.44,5.59635297909868,25,5,7,NA,NA,NA,NA,NA,NA
"41a",14,0.885633956103755,"B01",2016,329805.236243,410588.872152999,"Coniferous Woodland","Lowland Mixed Deciduous Woodland","OV27c:38.55",5.9,5.9,4.2,4.2,2.66,2.94,2.3,"OV27c","OV27","OV",14.44,12.3020323524205,25,0,NA,NA,NA,NA,NA,NA,NA
"42a",7,0.803361344537815,"B01",2016,329651.110102,410583.570606,"Coniferous Woodland",NA,"OV27:36.36",6,5.5,6,5.5,4,2,1,"OV27","OV27","OV",7.64,4.77737724419302,25,0,NA,NA,NA,NA,NA,NA,NA
"43",20,0.908514851485149,"B01",2016,329551.942996,410772.936594999,"Coniferous Woodland",NA,"OV27:24.13",6.5,5.9,4.7,4.2,2.41,3.05,2.36,"OV27","OV27","OV",4.92,3.61616740025495,25,7,NA,NA,NA,NA,NA,NA,NA
"44a",11,0.827777777777778,"B01",2016,329357.536183,410440.899903999,"Coniferous Woodland",NA,"H11c:46.51",6.5,4,4.5,2.5,1,5,1,"H11c","H11","H",NA,NA,25,1,NA,NA,NA,NA,NA,NA,NA
"46a",10,0.804381846635368,"B01",2016,328952.937712999,409926.219249,"Coniferous Woodland",NA,"SD10:31.18",7,5.5,5.5,3.3,2.67,3,2.33,"SD10","SD10","SD",4.06,1.26918609089973,25,0,NA,NA,NA,NA,NA,NA,NA
"47a",8,0.68452380952381,"B01",2016,329129.302778,409882.387554,"Coniferous Woodland",NA,"SD6g:40.54",7.6,3.4,5,2.4,2.75,3,2.25,"SD6g","SD6","SD",15.77,13.5180743204546,25,0,NA,NA,NA,NA,NA,NA,NA
"49a",18,0.901164596273292,"B01",2016,328784.945095999,409720.857274,"Coniferous Woodland",NA,"H1d:37.89",6.6,5.8,5.5,4.6,2.95,2.95,1.74,"H1d","H1","H",4.04,1.61322658049017,25,0,4,NA,NA,NA,NA,NA,NA
"50",13,0.840233881163085,"B01",2016,328943.072603999,409660.23246,"Coniferous Woodland",NA,"H1d:45.61",6.7,5.6,5.5,4.9,2.94,3,2,"H1d","H1","H",6.14,2.2477766792989,25,5,NA,5,NA,NA,NA,NA,NA
