All_species,Added_species
Aeonium seedling,
Aeonium sp.,
Aesculus carnea,
Aesculus flava,
Aesculus hippocastanum,
Aesculus hippocastanum (c),
Aesculus hippocastanum (g),
Aesculus hippocastanum (s),
Aesculus indica,
Aesculus parviflora,
Aesculus seedling,
Aesculus sp.,
Aetheorhiza bulbosa,
Aetheorhiza seedling,
Aetheorhiza sp.,
Aethionema grandiflorum,
Aethionema saxatile,
Aethionema seedling,
Aethionema sp.,
Aethusa cynapium,
Aethusa cynapium subsp. agrestis,
Aethusa cynapium subsp. cynapioides,
Aethusa cynapium subsp. cynapium,
Aethusa seedling,
Aethusa sp.,
Agapanthus praecox,
Agapanthus praecox subsp. orientalis,
Agapanthus seedling,
Agapanthus sp.,
Agave americana,
Agave seedling,
Agave sp.,
Ageratum houstonianum,
Ageratum seedling,
Ageratum sp.,
Agonimia octospora,
Agonimia seedling,
Agonimia sp.,
Agonimia tristicula,
Agoseris grandiflora,
Agoseris seedling,
Agoseris sp.,
Agrimonia eupatoria,
Agrimonia eupatoria x procera = A. x wirtgenii,
Agrimonia procera,
Agrimonia seedling,
Agrimonia sp.,
Agrocharis gracilis,
Agrocharis melanantha,
Agrocharis seedling,
Agrocharis sp.,
Agropogon littoralis,
Agropogon seedling,
Agropogon sp.,
Agropyron cristatum,
Agropyron desertorum,
Agropyron seedling,
Agropyron sp.,
Agrostemma githago,
Agrostemma gracilis,
Agrostemma seedling,
Agrostemma sp.,
Agrostis aemula,
Agrostis avenacea,
Agrostis billardierei,
Agrostis canina,
Agrostis canina agg.,
Agrostis capillaris,
Agrostis capillaris x castellana = A. x fouilladeana,
Agrostis capillaris x gigantea = A. x bjoerkmanii,
Agrostis capillaris x stolonifera = A. x murbeckii,
Agrostis capillaris x vinealis = A. ? x sanionis,
Agrostis castellana,
Agrostis curtisii,
Agrostis diegoensis,
Agrostis eriantha,
Agrostis exarata,
Agrostis gigantea,
Agrostis gigantea x stolonifera,
Agrostis hyemalis,
Agrostis lachnantha,
Agrostis nebulosa,
Agrostis pourretii,
Agrostis preissii,
Agrostis scabra,
Agrostis seedling,
Agrostis sp.,
Agrostis stolonifera,
Agrostis stolonifera x Polypogon viridis = X Agropogon robinsonii,
Agrostis stolonifera x vinealis,
Agrostis tenerrima,
Agrostis vinealis,
Agyrium rufum,
Agyrium seedling,
Agyrium sp.,
Ailanthus altissima,
Ailanthus seedling,
Ailanthus sp.,
Aira caryophyllea,
Aira cupaniana,
Aira elegantissima,
Aira multiculmis,
Aira praecox,
Aira provincialis,
Aira seedling,
Aira sp.,
Ajuga chamaepitys,
Ajuga genevensis,
Ajuga iva,
Ajuga pyramidalis,
Ajuga reptans,
Ajuga reptans x pyramidalis = A. x pseudopyramidalis,
Ajuga seedling,
Ajuga sp.,
Akebia quinata,
Akebia seedling,
Akebia sp.,
Alcea acaulis,
Alcea rosea,
Alcea seedling,
Alcea sp.,
Alchemilla acutiloba,
Alchemilla alpina,
Alchemilla conjuncta,
Alchemilla faeroensis,
Alchemilla filicaulis,
Alchemilla filicaulis subsp. filicaulis,
Alchemilla filicaulis subsp. vestita,
Alchemilla filicaulis vestita,
Alchemilla glabra,
Alchemilla glaucescens,
Alchemilla glomerulans,
Alchemilla gracilis,
Alchemilla micans,
Alchemilla minima,
Alchemilla mollis,
Alchemilla monticola,
Alchemilla seedling,
Alchemilla sp.,
Alchemilla subcrenata,
Alchemilla tytthantha,
Alchemilla venosa,
Alchemilla vulgaris agg.,
Alchemilla wichurae,
Alchemilla wichuriae,
Alchemilla xanthochlora,
Alectoria nigricans,
Alectoria ochroleuca,
Alectoria sarmentosa,
Alectoria seedling,
Alectoria sp.,
Algal mat,
Algal seedling,
Algal sp.,
Alisma gramineum,
Alisma lanceolatum,
Alisma plantago-aquatica,
Alisma plantago-aquatica x lanceolatum = A. x rhicnocarpum,
Alisma seedling,
Alisma sp.,
Alkanna lutea,
Alkanna seedling,
Alkanna sp.,
Alkanna tinctoria,
Allantoparmelia alpicola,
Allantoparmelia seedling,
Allantoparmelia sp.,
Alliaria petiolata,
Alliaria seedling,
Alliaria sp.,
Allium ampeloprasum,
Allium ampeloprasum babingtonii,
Allium ampeloprasum ssp ampeloprasum,
Allium carinatum,
Allium cepa,
Allium cyrilli,
Allium ericetorum,
Allium fistulosum,
Allium moly,
Allium neapolitanum,
Allium nigrum,
Allium oleraceum,
Allium paniculatum,
Allium paniculatum subsp. fuscum,
Allium paradoxum,
Allium pendulinum,
Allium porrum,
Allium roseum,
Allium sativum,
Allium schoenoprasum,
Allium scorodoprasum,
Allium seedling,
Allium sp.,
Allium sphaerocephalon,
Allium subhirsutum,
Allium triquetrum,
Allium tuberosum,
Allium unifolium,
Allium ursinum,
Allium vineale,
Allowissadula seedling,
Allowissadula sessei,
Allowissadula sp.,
Alnus cordata,
Alnus glutinosa,
Alnus glutinosa (c),
Alnus glutinosa (g),
Alnus glutinosa (s),
Alnus glutinosa x incana = A. x hybrida,
Alnus incana,
Alnus maritima,
Alnus orientalis,
Alnus rubra,
Alnus seedling,
Alnus sp.,
Alnus viridis,
Aloina aloides var aloides,
Aloina aloides var ambigua,
Aloina brevirostris,
Aloina rigida,
Aloina seedling,
Aloina sp.,
Alonsoa caulialata,
Alonsoa incisifolia,
Alonsoa peduncularis,
Alonsoa seedling,
Alonsoa sp.,
Alonsoa warscewiczii,
Alopecurus aequalis,
Alopecurus alpinus,
Alopecurus borealis,
Alopecurus bulbosus,
Alopecurus geniculatus,
Alopecurus geniculatus x aequalis = A. x haussknechtianus,
Alopecurus geniculatus x bulbosus = A. x plettkei,
Alopecurus macrostachyos,
Alopecurus magellanicus,
Alopecurus myosuroides,
Alopecurus pratensis,
Alopecurus pratensis x geniculatus = A. x brachystylus,
Alopecurus rendlei,
Alopecurus seedling,
Alopecurus setarioides,
Alopecurus sp.,
Alopecurus utriculatus,
Alstroemeria aurea,
Alstroemeria seedling,
Alstroemeria sp.,
Alternanthera caracasana,
Alternanthera ficoidea,
Alternanthera nodiflora,
Alternanthera paronychioides,
Alternanthera pungens,
Alternanthera seedling,
Alternanthera sessilis,
Alternanthera sp.,
Althaea cannabina,
Althaea hirsuta,
Althaea officinalis,
Althaea seedling,
Althaea sp.,
Altitude seedling,
Altitude sp.,
"Altitude, metres",
"Altitude, thousands of metres",
Alyssum alyssoides,
Alyssum dasycarpum,
Alyssum desertorum,
Alyssum hirsutum,
Alyssum montanum,
Alyssum murale,
Alyssum saxatile,
Alyssum seedling,
Alyssum serpyllifolium,
Alyssum simplex,
Alyssum sp.,
Alyssum strigosum,
Amaranthus acutilobus,
Amaranthus albus,
Amaranthus arenicola,
Amaranthus blitoides,
Amaranthus blitum,
Amaranthus bouchonii,
Amaranthus capensis,
Amaranthus capensis subsp. uncinatus,
Amaranthus caudatus,
Amaranthus clementii,
Amaranthus crassipes,
Amaranthus crispus,
Amaranthus cruentus,
Amaranthus deflexus,
Amaranthus graecizans,
Amaranthus graecizans subsp. graecizans,
Amaranthus graecizans subsp. sylvestris,
Amaranthus hybridus,
Amaranthus hypochondriacus,
Amaranthus macrocarpus,
Amaranthus mitchellii,
Amaranthus muricatus,
Amaranthus palmeri,
Amaranthus powellii,
Amaranthus quitensis,
Amaranthus retroflexus,
Amaranthus retroflexus x hybridus = A. x ozanonii,
Amaranthus rudis,
Amaranthus schinzianus,
Amaranthus scleropoides,
Amaranthus seedling,
Amaranthus sp.,
Amaranthus spinosus,
Amaranthus standleyanus,
Amaranthus thunbergii,
Amaranthus tricolor,
Amaranthus tuberculatus,
Amaranthus viridis,
Amaranthus watsonii,
Amaryllis belladonna,
Amaryllis seedling,
Amaryllis sp.,
Amberboa moschata,
Amberboa seedling,
Amberboa sp.,
Amblyodon dealbatus,
Amblyodon seedling,
Amblyodon sp.,
Amblystegium compactum,
Amblystegium fluviatile,
Amblystegium humile,
Amblystegium riparium,
Amblystegium saxatile,
Amblystegium seedling,
Amblystegium serpens,
Amblystegium sp.,
Amblystegium tenax,
Amblystegium varium,
Ambrosia acanthicarpa,
Ambrosia artemisiifolia,
Ambrosia maritima,
Ambrosia peruviana,
Ambrosia psilostachya,
Ambrosia seedling,
Ambrosia sp.,
Ambrosia tenuifolia,
Ambrosia trifida,
Amelanchier grandiflora,
Amelanchier lamarckii,
Amelanchier ovalis,
Amelanchier seedling,
Amelanchier sp.,
Amelanchier spicata,
Amellus microglossus,
Amellus seedling,
Amellus sp.,
Amellus strigosus,
Amethystea caerulea,
Amethystea seedling,
Amethystea sp.,
Ammi majus,
Ammi seedling,
Ammi sp.,
Ammi visnaga,
Ammobium alatum,
Ammobium seedling,
Ammobium sp.,
Ammocalamagrostis baltica,
Ammocalamagrostis seedling,
Ammocalamagrostis sp.,
Ammochloa pungens,
Ammochloa seedling,
Ammochloa sp.,
Ammophila arenaria,
Ammophila breviligulata,
Ammophila seedling,
Ammophila sp.,
Amorphophallus rivieri,
Amorphophallus seedling,
Amorphophallus sp.,
Amphidium lapponicum,
Amphidium mougeotii,
Amphidium seedling,
Amphidium sp.,
Amsinckia calycina,
Amsinckia lycopsoides,
Amsinckia micrantha,
Amsinckia seedling,
Amsinckia sp.,
Amsinckia spectabilis,
Amsinckia tessellata,
Amygdalaria consentiens,
Amygdalaria pelobotryon,
Amygdalaria seedling,
Amygdalaria sp.,
Anacamptis pyramidalis,
Anacamptis pyramidalis x Gymnadenia conopsea = X Gymnanacamptis anacamptis,
Anacamptis seedling,
Anacamptis sp.,
Anacyclus clavatus,
Anacyclus radiatus,
Anacyclus seedling,
Anacyclus sp.,
Anacyclus valentinus,
Anagallis arvensis,
Anagallis arvensis subsp. arvensis,
Anagallis arvensis subsp. foemina,
Anagallis foemina,
Anagallis minima,
Anagallis monelli,
Anagallis seedling,
Anagallis sp.,
Anagallis tenella,
Anaphalis margaritacea,
Anaphalis seedling,
Anaphalis sp.,
Anaphalis triplinervis,
Anaptychia ciliaris,
Anaptychia runcinata,
Anaptychia seedling,
Anaptychia sp.,
Anarrhinum bellidifolium,
Anarrhinum seedling,
Anarrhinum sp.,
Anastrepta orcadensis,
Anastrepta seedling,
Anastrepta sp.,
Anastrophyllum donianum,
Anastrophyllum joergensenii,
Anastrophyllum saxicola,
Anastrophyllum seedling,
Anastrophyllum sp.,
Anchusa arvensis,
Anchusa arvensis subsp. arvensis,
Anchusa arvensis subsp. orientalis,
Anchusa azurea,
Anchusa capensis,
Anchusa ochroleuca,
Anchusa ochroleuca x officinalis = A. x baumgartenii,
Anchusa officinalis,
Anchusa seedling,
Anchusa sp.,
Anchusa strigosa,
Anchusa stylosa,
Anchusa undulata,
Anchusa variegata,
Andreaea alpina,
Andreaea crassinervia,
Andreaea nivalis,
Andreaea obovata,
Andreaea rothii,
Andreaea rupestris,
Andreaea seedling,
Andreaea sp.,
Andromeda polifolia,
Andromeda seedling,
Andromeda sp.,
Andropogon distachyos,
Andropogon seedling,
Andropogon sp.,
Androsace maxima,
Androsace seedling,
Androsace sp.,
Andryala integrifolia,
Andryala seedling,
Andryala sp.,
Anemone apennina,
Anemone blanda,
Anemone coronaria,
Anemone hortensis x pavonina = A. x fulgens,
Anemone hupehensis x vitifolia = A. x hybrida,
Anemone nemorosa,
Anemone ranunculoides,
Anemone seedling,
Anemone sp.,
Anemone sylvestris,
Anethum graveolens,
Anethum seedling,
Anethum sp.,
Aneura pinguis,
Aneura seedling,
Aneura sp.,
Angelica archangelica,
Angelica pachycarpa,
Angelica seedling,
Angelica sp.,
Angelica sylvestris,
Anisantha diandra,
Anisantha fasciculata,
Anisantha madritensis,
Anisantha rigida,
Anisantha rubens,
Anisantha seedling,
Anisantha sp.,
Anisantha sterilis,
Anisantha tectorum,
Anisodontea scabrosa,
Anisodontea seedling,
Anisodontea sp.,
Anisomeridium biforme,
Anisomeridium nyssaegenum,
Anisomeridium seedling,
Anisomeridium sp.,
Anoda cristata,
Anoda seedling,
Anoda sp.,
Anoectangium aestivum,
Anoectangium seedling,
Anoectangium sp.,
Anogramma leptophylla,
Anogramma seedling,
Anogramma sp.,
Anomobryum filiforme,
Anomobryum filiforme var  concinnatum,
Anomobryum seedling,
Anomobryum sp.,
Anomodon attenuatus,
Anomodon longifolius,
Anomodon seedling,
Anomodon sp.,
Anomodon viticulosus,
Anredera cordifolia,
Anredera seedling,
Anredera sp.,
Antennaria dioica,
Antennaria seedling,
Antennaria sp.,
Anthelia julacea,
Anthelia juratzkana,
Anthelia seedling,
Anthelia sp.,
Anthemis abrotanifolia,
Anthemis altissima,
Anthemis arvensis,
Anthemis austriaca,
Anthemis cotula,
Anthemis cotula x Tripleurospermum inodorum = X Tripleurothemis maleolens,
Anthemis cretica,
Anthemis hyalina,
Anthemis leucanthemifolia,
Anthemis maritima,
Anthemis muricata,
Anthemis punctata,
Anthemis punctata subsp. cupaniana,
Anthemis ruthenica,
Anthemis seedling,
Anthemis sp.,
Anthemis tinctoria,
Anthemis tomentosa,
Anthemis triumfetti,
Anthemis wiedemanniana,
Anthericum ramosum,
Anthericum seedling,
Anthericum sp.,
Anthoceros agrestis,
Anthoceros punctata,
Anthoceros seedling,
Anthoceros sp.,
Antholyza ringens,
Antholyza seedling,
Antholyza sp.,
Anthoxanthum aristatum,
Anthoxanthum aristatum subsp. puelii,
Anthoxanthum odoratum,
Anthoxanthum ovatum,
Anthoxanthum seedling,
Anthoxanthum sp.,
Anthriscus caucalis,
Anthriscus cerefolium,
Anthriscus seedling,
Anthriscus sp.,
Anthriscus sylvestris,
Anthyllis seedling,
Anthyllis sp.,
Anthyllis tetraphylla,
Anthyllis vulneraria,
Anthyllis vulneraria subsp. carpatica,
Anthyllis vulneraria subsp. corbierei,
Anthyllis vulneraria subsp. lapponica,
Anthyllis vulneraria subsp. polyphylla,
Anthyllis vulneraria subsp. vulneraria,
Antirrhinum majus,
Antirrhinum seedling,
Antirrhinum siculum,
Antirrhinum sp.,
Antitrichia curtipendula,
Antitrichia seedling,
Antitrichia sp.,
Aongstroemia longipes,
Aongstroemia seedling,
Aongstroemia sp.,
Apera intermedia,
Apera interrupta,
Apera seedling,
Apera sp.,
Apera spica-venti,
Aphanes arvensis,
Aphanes arvensis agg.,
Aphanes australis,
Aphanes microcarpa,
Aphanes seedling,
Aphanes sp.,
Aphanolejeunea microscopica,
Aphanolejeunea seedling,
Aphanolejeunea sp.,
Aphanopsis coenosa,
Aphanopsis seedling,
Aphanopsis sp.,
Apium graveolens,
Apium inundatum,
Apium nodiflorum,
Apium nodiflorum x inundatum = A. x moorei,
Apium nodiflorum x repens,
Apium repens,
Apium seedling,
Apium sp.,
Aplodon seedling,
Aplodon sp.,
Aplodon wormskjoldii,
Apometzgeria pubescens,
Apometzgeria seedling,
Apometzgeria sp.,
Aponogeton distachyos,
Aponogeton seedling,
Aponogeton sp.,
Aptenia cordifolia,
Aptenia seedling,
Aptenia sp.,
Aquilegia olympica,
Aquilegia pubescens,
Aquilegia pyrenaica,
Aquilegia seedling,
Aquilegia sp.,
Aquilegia vulgaris,
Arabidopsis seedling,
Arabidopsis sp.,
Arabidopsis thaliana,
Arabis alpina,
Arabis arenosa,
Arabis caucasica,
Arabis collina,
Arabis glabra,
Arabis hirsuta,
Arabis nova,
Arabis petraea,
Arabis scabra,
Arabis seedling,
Arabis sp.,
Arabis turrita,
Arabis verna,
Arachis hypogaea,
Arachis seedling,
Arachis sp.,
Aralia chinensis,
Aralia elata,
Aralia racemosa,
Aralia seedling,
Aralia sp.,
Araucaria araucana,
Araucaria seedling,
Araucaria sp.,
Arbutus seedling,
Arbutus sp.,
Arbutus unedo,
Arbutus unedo x andrachne = A. x andrachnoides,
Archidium alternifolium,
Archidium seedling,
Archidium sp.,
Arctium agg,
Arctium lappa,
Arctium lappa x minus = A. x nothum,
Arctium minus,
Arctium minus agg.,
Arctium minus ssp nemorosum,
Arctium minus ssp pubens,
Arctium nemorosum,
Arctium seedling,
Arctium sp.,
Arctium tomentosum,
Arctoa fulvella,
Arctoa seedling,
Arctoa sp.,
Arctomia delicatula,
Arctomia seedling,
Arctomia sp.,
Arctostaphylos alpinus,
Arctostaphylos seedling,
Arctostaphylos sp.,
Arctostaphylos uva-ursi,
Arctotheca calendula,
Arctotheca seedling,
Arctotheca sp.,
Arctotis breviscapa,
Arctotis seedling,
Arctotis sp.,
Arctotis stoechadifolia,
Aremonia agrimonioides,
Aremonia agrimonoides,
Aremonia seedling,
Aremonia sp.,
Arenaria balearica,
Arenaria ciliata,
Arenaria leptoclados,
Arenaria montana,
Arenaria norvegica,
Arenaria norvegica subsp. anglica,
Arenaria norvegica subsp. norvegica,
Arenaria seedling,
Arenaria serpyllifolia,
Arenaria serpyllifolia subsp. leptoclados,
Arenaria serpyllifolia subsp. serpyllifolia,
Arenaria sp.,
Argemone mexicana,
Argemone seedling,
Argemone sp.,
Argyranthemum frutescens,
Argyranthemum seedling,
Argyranthemum sp.,
Arisarum proboscideum,
Arisarum seedling,
Arisarum sp.,
Aristea ecklonii,
Aristea seedling,
Aristea sp.,
Aristida adscensionis,
Aristida benthamii,
Aristida congesta,
Aristida contorta,
Aristida oligantha,
Aristida ramosa,
Aristida seedling,
Aristida sp.,
Aristolochia clematitis,
Aristolochia hirta,
Aristolochia rotunda,
Aristolochia seedling,
Aristolochia sp.,
Armeria arenaria,
Armeria maritima,
Armeria maritima subsp. elongata,
Armeria maritima subsp. maritima,
Armeria maritima x arenaria,
Armeria pseudarmeria,
Armeria pseudoarmeria,
Armeria seedling,
Armeria sp.,
Armoracia macrocarpa,
Armoracia rusticana,
Armoracia seedling,
Armoracia sp.,
Arnebia pulchra,
Arnebia seedling,
Arnebia sp.,
Arnica angustifolia,
Arnica seedling,
Arnica sp.,
Arnoseris minima,
Arnoseris seedling,
Arnoseris sp.,
Aronia arbutifolia,
Aronia melanocarpa,
Aronia seedling,
Aronia sp.,
Arrhenatherum album,
Arrhenatherum elatius,
Arrhenatherum seedling,
Arrhenatherum sp.,
Artemisia abrotanum,
Artemisia absinthium,
Artemisia afra,
Artemisia anethifolia,
Artemisia annua,
Artemisia biennis,
Artemisia campestris,
Artemisia chamaemelifolia,
Artemisia dracunculus,
Artemisia herba-alba,
Artemisia longifolia,
Artemisia ludoviciana,
Artemisia macrantha,
Artemisia maritima,
Artemisia norvegica,
Artemisia pontica,
Artemisia scoparia,
Artemisia seedling,
Artemisia sericea,
Artemisia sp.,
Artemisia stelleriana,
Artemisia tschernieviana,
Artemisia verlotiorum,
Artemisia vulgaris,
Artemisia vulgaris x verlotiorum = A. x wurzellii,
Arthonia amylospora,
Arthonia anglica,
Arthonia anombrophila,
Arthonia arthonioides,
Arthonia astroidestra,
Arthonia atlantica,
Arthonia cinnabarina,
Arthonia clemens,
Arthonia cohabitans,
Arthonia didyma,
Arthonia elegans,
Arthonia endlicheri,
Arthonia epiphyscia,
Arthonia excipienda,
Arthonia fuscopurpurea,
Arthonia galactites,
Arthonia gelidae,
Arthonia graphidicola,
Arthonia ilicina,
Arthonia ilicinella,
Arthonia impolita,
Arthonia intexta,
Arthonia invadens,
Arthonia lapidicola,
Arthonia leucodontis,
Arthonia leucopellaea,
Arthonia ligniaria,
Arthonia ligniariella,
Arthonia myriocarpella,
Arthonia peltigerae,
Arthonia phaeobaea,
Arthonia punctella,
Arthonia punctiformis,
Arthonia radiata,
Arthonia seedling,
Arthonia sp.,
Arthonia spadicea,
Arthonia stellaris,
Arthonia thelotrematis,
Arthonia varians,
Arthonia vinosa,
Arthonia zwackhii,
Arthopyrenia antecellans,
Arthopyrenia carneobrunneola,
Arthopyrenia cerasi,
Arthopyrenia cinereopruinosa,
Arthopyrenia fraxini,
Arthopyrenia lapponina,
Arthopyrenia nitescens,
Arthopyrenia punctiformis,
Arthopyrenia ranunculospora,
Arthopyrenia rhyponta,
Arthopyrenia salicis,
Arthopyrenia seedling,
Arthopyrenia sp.,
Arthopyrenia subcerasi,
Arthopyrenia viridescens,
Arthothelium dictyosporum,
Arthothelium lirellans,
Arthothelium norvegicum,
Arthothelium orbilliferum,
Arthothelium reagens,
Arthothelium ruanum,
Arthothelium seedling,
Arthothelium sp.,
Arthothelium spectabile,
Arthraxon hispidus,
Arthraxon seedling,
Arthraxon sp.,
Arthrocnemum perenne,
Arthrocnemum seedling,
Arthrocnemum sp.,
Arthrorhaphis alpina,
Arthrorhaphis citrinella,
Arthrorhaphis fuscireagens,
Arthrorhaphis grisea,
Arthrorhaphis seedling,
Arthrorhaphis sp.,
Arum italicum,
Arum italicum subsp. canariense,
Arum italicum subsp. italicum,
Arum italicum subsp. neglectum,
Arum maculatum,
Arum maculatum x italicum,
Arum seedling,
Arum sp.,
Aruncus dioicus,
Aruncus seedling,
Aruncus sp.,
Arundinaria anceps,
Arundinaria fastuosa,
Arundinaria japonica,
Arundinaria seedling,
Arundinaria simonii,
Arundinaria sp.,
Arundinaria vagans,
Arundo donax,
Arundo seedling,
Arundo sp.,
Asarina procumbens,
Asarina seedling,
Asarina sp.,
Asarum europaeum,
Asarum seedling,
Asarum sp.,
Asparagus officinalis,
Asparagus officinalis officinalis,
Asparagus officinalis ssp prostratus,
Asparagus prostratus,
Asparagus seedling,
Asparagus sp.,
Aspect seedling,
Aspect sp.,
"Aspect, degrees",
Asperugo procumbens,
Asperugo seedling,
Asperugo sp.,
Asperula arvensis,
Asperula cynanchica,
Asperula cynanchica ssp occidentalis,
Asperula cynanchica subsp. cynanchica,
Asperula cynanchica subsp. occidentalis,
Asperula laevigata,
Asperula orientalis,
Asperula seedling,
Asperula sp.,
Asperula taurina,
Asperula tinctoria,
Asphodeline lutea,
Asphodeline seedling,
Asphodeline sp.,
Asphodelus albus,
Asphodelus fistulosus,
Asphodelus ramosus,
Asphodelus seedling,
Asphodelus sp.,
Aspicilia caesiocinerea,
Aspicilia calcarea,
Aspicilia cinerea,
Aspicilia contorta,
Aspicilia epiglypta,
Aspicilia grisea,
Aspicilia intermutans,
Aspicilia laevata,
Aspicilia leprosescens,
Aspicilia melanaspis,
Aspicilia recedens,
Aspicilia seedling,
Aspicilia sp.,
Aspicilia subcircinata,
Aspicilia subdepressa,
Aspicilia tuberculosa,
Aspidistra elatior,
Aspidistra seedling,
Aspidistra sp.,
Asplenium adiantum-nigrum,
Asplenium adiantum-nigrum x obovatum = A. x sarniense,
Asplenium adiantum-nigrum x onopteris = A. x ticinense,
Asplenium adiantum-nigrum x septentrionale = A. x contrei,
Asplenium billotii,
Asplenium fontanum,
Asplenium marinum,
Asplenium obovatum,
Asplenium obovatum subsp. lanceolatum,
Asplenium onopteris,
Asplenium ruta-muraria,
Asplenium ruta-muraria x septentrionale = A. x murbeckii,
Asplenium seedling,
Asplenium septentrionale,
Asplenium sp.,
Asplenium trichomanes,
Asplenium trichomanes subsp. pachyrachis,
Asplenium trichomanes subsp. quadrivalens,
Asplenium trichomanes subsp. trichomanes,
Asplenium trichomanes x ruta-muraria = A. x clermontiae,
Asplenium trichomanes x septentrionale = A. x alternifolium,
Asplenium viride,
